cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
2920960,大祥哥来了,手游,原神,4,1689102204201,,,
353240497,雀魂麻将majsoul,手游,综合棋牌,4,1688814921328,,,
51373800,思维鬼才睿老板,手游,原神,4,1688741944048,,,
80304,亚食人,单机游戏,其他单机,4,1688653009377,,,
474595619,原神主播资格赛,手游,原神,4,1688034399810,,,
43222001,卡特亚,手游,崩坏：星穹铁道,4,1687786758614,,,
2920960,大祥哥来了,网游,蓝色协议,4,1687340891177,,,
407416,赤佬RedY,手游,原神,4,1687004529405,,,
23730666,老沐ocean,手游,崩坏：星穹铁道,4,1686906414454,,,
2920960,大祥哥来了,网游,蓝色协议,4,1686840252798,,,
1871001,棉花大哥哥,手游,原神,4,1686510741144,,,
2920960,大祥哥来了,手游,原神,4,1686407126350,,,
2920960,大祥哥来了,手游,崩坏：星穹铁道,4,1686144141301,,,
2920960,大祥哥来了,手游,原神,4,1685894054250,,,
1871001,棉花大哥哥,手游,崩坏：星穹铁道,4,1685805899660,,,
2920960,大祥哥来了,手游,原神,4,1685719249288,,,
2920960,大祥哥来了,手游,原神,4,1685638987224,,,
1871001,棉花大哥哥,手游,重返未来：1999 ,4,1685610812486,,,
1871001,棉花大哥哥,手游,崩坏：星穹铁道,4,1684679629221,,,
75480955,念熙阿,手游,崩坏：星穹铁道,4,1684566689519,,,
80304,亚食人,单机游戏,其他单机,4,1684505248497,,,
2920960,大祥哥来了,手游,崩坏：星穹铁道,4,1684506287583,,,
2920960,大祥哥来了,手游,崩坏：星穹铁道,1,1684506299000,粉丝团灯牌,1,1
2920960,大祥哥来了,手游,崩坏：星穹铁道,1,1684249049000,这个好诶,1,1
2920960,大祥哥来了,手游,崩坏：星穹铁道,0,1684249050152,欧气分你一点点~~,,
1320581,游戏彩笔,手游,崩坏：星穹铁道,4,1683510286363,,,
1871001,棉花大哥哥,手游,崩坏：星穹铁道,4,1683451625200,,,
75480955,念熙阿,手游,崩坏：星穹铁道,4,1682924574963,,,
128154158,空灵LML,手游,崩坏：星穹铁道,4,1682862330194,,,
431073645,你的影月月,手游,崩坏：星穹铁道,4,1682849256408,,,
2920960,大祥哥来了,手游,崩坏：星穹铁道,4,1682483378104,,,
2920960,大祥哥来了,手游,原神,4,1682346651071,,,
1871001,棉花大哥哥,手游,新游评测,4,1682327966053,,,
2920960,大祥哥来了,手游,原神,4,1681908415614,,,
1871001,棉花大哥哥,手游,原神,4,1681532898316,,,
2920960,大祥哥来了,手游,原神,4,1681388596197,,,
2920960,大祥哥来了,手游,原神,1,1681388751000,辣条 x20,0,
51719,196⑨,单机游戏,独立游戏,4,1681312612453,,,
2920960,大祥哥来了,手游,原神,4,1681307869291,,,
2920960,大祥哥来了,手游,原神,4,1681312464703,,,
2920960,大祥哥来了,手游,原神,4,1680625590313,,,
1871001,棉花大哥哥,手游,原神,4,1680336001925,,,
1871001,棉花大哥哥,手游,原神,4,1680339606654,,,
2920960,大祥哥来了,手游,原神,4,1679810473452,,,
2920960,大祥哥来了,手游,原神,4,1679837783875,,,
372784089,Kiraboshi绮罗星,手游,原神,4,1679653362693,,,
2920960,大祥哥来了,手游,原神,4,1679401432157,,,
2920960,大祥哥来了,单机游戏,森林之子,4,1678795964147,,,
128154158,空灵LML,手游,原神,4,1677899292458,,,
128154158,空灵LML,手游,原神,4,1677294541081,,,
128154158,空灵LML,手游,崩坏3,4,1677235300628,,,
1871001,棉花大哥哥,手游,原神,4,1677234693203,,,
1871001,棉花大哥哥,手游,原神,4,1676709601247,,,
128154158,空灵LML,手游,原神,4,1676600251162,,,
2920960,大祥哥来了,手游,崩坏：星穹铁道,4,1676289361268,,,
1871001,棉花大哥哥,手游,原神,4,1676149590487,,,
8040869,寒雪无忆曲江南,手游,崩坏：星穹铁道,4,1676023338190,,,
3178205,东方寒兔,手游,原神,4,1675942533790,,,
1871001,棉花大哥哥,手游,原神,4,1675913395463,,,
2920960,大祥哥来了,手游,原神,4,1675868471224,,,
1871001,棉花大哥哥,手游,原神,4,1675773826111,,,
75480955,念熙阿,手游,原神,4,1675224280039,,,
128154158,空灵LML,手游,原神,4,1674895561013,,,
1871001,棉花大哥哥,手游,原神,4,1674743054356,,,
128154158,空灵LML,手游,原神,4,1674705232844,,,
128154158,空灵LML,手游,原神,4,1674396915652,,,
128154158,空灵LML,手游,原神,4,1674400642112,,,
128154158,空灵LML,手游,崩坏3,4,1674203025941,,,
128154158,空灵LML,手游,原神,4,1673955114152,,,
128154158,空灵LML,手游,原神,4,1673871276688,,,
128154158,空灵LML,手游,原神,4,1673875606942,,,
128154158,空灵LML,手游,新游评测,4,1673838016599,,,
128154158,空灵LML,手游,新游评测,4,1673839947127,,,
1871001,棉花大哥哥,手游,原神,4,1673793270172,,,
128154158,空灵LML,手游,原神,4,1673615482917,,,
128154158,空灵LML,手游,原神,4,1673577158565,,,
128154158,空灵LML,手游,新游评测,4,1673488575272,,,
128154158,空灵LML,手游,新游评测,4,1673489923180,,,
51719,196⑨,单机游戏,独立游戏,4,1673193256298,,,
2920960,大祥哥来了,手游,原神,4,1672757252184,,,
3178205,东方寒兔,手游,崩坏3,4,1672487647756,,,
2920960,大祥哥来了,手游,原神,4,1672221281173,,,
2920960,大祥哥来了,手游,原神,0,1672142614654,九条：6,,
40665101,火龙果说电影,手游,综合棋牌,4,1671893815641,,,
247410,一番的宝物,网游,永劫无间,4,1671722654194,,,
40665101,火龙果说电影,手游,综合棋牌,4,1671296360961,,,
51719,196⑨,单机游戏,独立游戏,4,1671039596453,,,
3178205,东方寒兔,手游,原神,4,1671036489428,,,
51719,196⑨,单机游戏,独立游戏,4,1670861073196,,,
2920960,大祥哥来了,手游,原神,4,1670859785403,,,
2920960,大祥哥来了,手游,原神,4,1670746793332,,,
2920960,大祥哥来了,手游,原神,4,1670777381640,,,
247410,一番的宝物,网游,永劫无间,4,1670682811337,,,
494426852,冲动纠纠,生活,萌宠,4,1670638365323,,,
2920960,大祥哥来了,手游,原神,4,1670433473122,,,
40665101,火龙果说电影,手游,综合棋牌,4,1670157054497,,,
51719,196⑨,单机游戏,独立游戏,4,1670090202277,,,
40665101,火龙果说电影,手游,综合棋牌,4,1670070091752,,,
43536,黑桐谷歌,单机游戏,主机游戏,4,1670059268580,,,
40665101,火龙果说电影,手游,综合棋牌,4,1670002009615,,,
2920960,大祥哥来了,手游,原神,4,1669988475425,,,
51719,196⑨,单机游戏,独立游戏,4,1669735867931,,,
2920960,大祥哥来了,手游,原神,4,1669652176258,,,
2920960,大祥哥来了,手游,原神,4,1669560990247,,,
3178205,东方寒兔,手游,崩坏3,4,1668877070659,,,
3178205,东方寒兔,手游,崩坏3,4,1668776224839,,,
128154158,空灵LML,手游,原神,4,1668678260210,,,
431073645,你的影月月,手游,原神,4,1668659140992,,,
128154158,空灵LML,手游,原神,4,1668567375506,,,
51719,196⑨,单机游戏,独立游戏,4,1668446479250,,,
51719,196⑨,单机游戏,独立游戏,4,1668355888725,,,
51719,196⑨,单机游戏,独立游戏,4,1668358154109,,,
51719,196⑨,单机游戏,独立游戏,4,1668270285293,,,
51719,196⑨,单机游戏,独立游戏,4,1668276017322,,,
164627,杆菌无敌,手游,综合棋牌,4,1668066485099,,,
51719,196⑨,单机游戏,独立游戏,4,1668008990663,,,
2920960,大祥哥来了,手游,原神,4,1668011610548,,,
40665101,火龙果说电影,手游,综合棋牌,4,1667840182324,,,
51719,196⑨,单机游戏,独立游戏,4,1667748224848,,,
51719,196⑨,单机游戏,独立游戏,4,1667752280947,,,
24868113,夜语霁雨_Official,网游,穿越火线,4,1667728728370,,,
1871001,棉花大哥哥,手游,原神,4,1667745768517,,,
51719,196⑨,单机游戏,独立游戏,4,1667575021378,,,
2920960,大祥哥来了,手游,原神,4,1667567955522,,,
51719,196⑨,单机游戏,独立游戏,4,1667493112763,,,
2920960,大祥哥来了,手游,原神,4,1667466364152,,,
1871001,棉花大哥哥,手游,原神,4,1667367340683,,,
51719,196⑨,单机游戏,独立游戏,4,1667319127618,,,
128154158,空灵LML,手游,原神,4,1667273841189,,,
888465,暗猫の祝福,手游,原神,4,1667037499090,,,
2920960,大祥哥来了,手游,原神,4,1666972300522,,,
51719,196⑨,单机游戏,独立游戏,4,1666972380907,,,
128154158,空灵LML,手游,新游评测,4,1666952214026,,,
128154158,空灵LML,手游,新游评测,4,1666969161251,,,
2920960,大祥哥来了,手游,原神,4,1666877048076,,,
3178205,东方寒兔,手游,崩坏3,4,1666876789269,,,
1871001,棉花大哥哥,手游,原神,4,1666877358167,,,
51719,196⑨,单机游戏,独立游戏,4,1666807681935,,,
51719,196⑨,单机游戏,独立游戏,4,1666710188092,,,
51719,196⑨,单机游戏,独立游戏,4,1666715264610,,,
