cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
48330353,双尾彗星,单机游戏,其他单机,4,1689341669326,,,
7349,STN工作室,单机游戏,主机游戏,4,1689337866594,,,
7349,STN工作室,单机游戏,主机游戏,0,1689338644157,大王花！！,,
2529007,苟校长想要你的关注,娱乐,视频聊天,4,1688733710374,,,
43536,黑桐谷歌,单机游戏,主机游戏,4,1688733731433,,,
2529007,苟校长想要你的关注,娱乐,视频聊天,4,1688393318430,,,
48330353,双尾彗星,单机游戏,其他单机,4,1686321164464,,,
48330353,双尾彗星,单机游戏,其他单机,4,1685465979553,,,
3386870,轩邈Elias,单机游戏,塞尔达传说,4,1684243148081,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1683644225111,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1683398400839,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1683220872429,,,
686584029,程在日的日常,单机游戏,主机游戏,4,1683191772001,,,
48330353,双尾彗星,单机游戏,其他单机,4,1682860503289,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1682094916705,,,
686584029,程在日的日常,单机游戏,主机游戏,4,1681301655794,,,
686584029,程在日的日常,单机游戏,主机游戏,4,1681006049419,,,
686584029,程在日的日常,单机游戏,主机游戏,4,1680921295835,,,
29553970,离枯Starry,单机游戏,主机游戏,4,1680885238925,,,
686584029,程在日的日常,单机游戏,主机游戏,4,1680866441482,,,
35167755,付导21岁天才少年,单机游戏,恐怖游戏,4,1680706240276,,,
30877952,轨夕Grix,单机游戏,生化危机,4,1680387420978,,,
6014992,叫我棉被,手游,新游评测,4,1680089752997,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1679841340553,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1679680921825,,,
2041058727,阿怡吖咿哟,娱乐,视频唱见,4,1678555479120,,,
2041058727,阿怡吖咿哟,娱乐,视频唱见,4,1678555479162,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1678028077795,,,
48330353,双尾彗星,单机游戏,卧龙：苍天陨落,4,1678028227999,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1677926961151,,,
434334701,七海Nana7mi,虚拟主播,TopStar,4,1677955755072,,,
48330353,双尾彗星,单机游戏,卧龙：苍天陨落,4,1677778313258,,,
3386870,轩邈Elias,电台,聊天电台,4,1676303079537,,,
1542516095,伊舞Eve,虚拟主播,虚拟日常,4,1676116405029,,,
48330353,双尾彗星,单机游戏,其他单机,4,1675946596113,,,
3386870,轩邈Elias,电台,聊天电台,4,1675859927116,,,
3386870,轩邈Elias,电台,聊天电台,4,1674874077640,,,
434334701,七海Nana7mi,虚拟主播,虚拟主播,4,1674139692796,,,
3506,车牌,网游,魔兽世界,4,1674139698302,,,
628533885,舞台集云-Stagecrowd,娱乐,视频唱见,4,1674134752216,,,
327757321,摸鱼事务所,娱乐,视频聊天,4,1672496912854,,,
48330353,双尾彗星,单机游戏,其他单机,4,1672411569323,,,
1596341281,CCTV6放映室,娱乐,日常,4,1672366107406,,,
35359510,远古时代装机猿,单机游戏,主机游戏,4,1672237997555,,,
43536,黑桐谷歌,单机游戏,主机游戏,4,1672238002392,,,
434334701,七海Nana7mi,虚拟主播,虚拟主播,4,1672073875687,,,
3386870,轩邈Elias,电台,聊天电台,4,1671806934170,,,
1581217,小酥柚丶,娱乐,视频聊天,4,1671499527935,,,
3386870,轩邈Elias,电台,聊天电台,4,1671378217880,,,
43536,黑桐谷歌,单机游戏,主机游戏,0,1670550270673,这很河狸,,
325898557,俏鲨鱼,娱乐,视频聊天,4,1669654143586,,,
4079592,机核GCORES,单机游戏,战神,4,1667907405484,,,
43536,黑桐谷歌,单机游戏,战神,0,1667907990410,这很河狸,,
43536,黑桐谷歌,单机游戏,战神,0,1667908729897,这很河狸,,
43536,黑桐谷歌,单机游戏,战神,0,1667909560599,这很河狸,,
6014992,叫我棉被,手游,新游评测,4,1667557288624,,,
22839600,佛珠战神,网游,守望先锋,4,1667236632229,,,
28113214,G老师の游戏人生,单机游戏,主机游戏,4,1667012213044,,,
4079592,机核GCORES,网游,守望先锋,4,1664985179574,,,
74173022,吃瓜大师,网游,吃鸡行动,4,1664767192289,,,
178047796,中正评测,知识, 科技,4,1664276377049,,,
26607148,青铜树海,单机游戏,恐怖游戏,4,1663931035618,,,
288267,小黄瓜子壳儿,娱乐,日常,4,1663676301749,,,
1596341281,CCTV6放映室,娱乐,日常,4,1663408013107,,,
13595613,木子模玩室,娱乐,视频聊天,4,1663347591900,,,
1596341281,CCTV6放映室,娱乐,日常,4,1663207507897,,,
3386870,轩邈Elias,电台,聊天电台,4,1662829230576,,,
288267,小黄瓜子壳儿,娱乐,视频聊天,4,1662726581716,,,
26607148,青铜树海,,,4,1661961373518,,,
19432127,A9VG,,,4,1660650265575,,,
145544,风都獭书馆,,,4,1660620587168,,,
29553970,离枯Starry,,,4,1660387193343,,,
26607148,青铜树海,,,4,1660283361404,,,
1752208642,犬川面面Miami,,,4,1660229922277,,,
6014992,叫我棉被,,,4,1660229840953,,,
489306359,Enna的天堂唱诗班,,,4,1658940263234,,,
288267,小黄瓜子壳儿,,,4,1658753125362,,,
288267,小黄瓜子壳儿,,,4,1658662922169,,,
288267,小黄瓜子壳儿,,,4,1658509171554,,,
288267,小黄瓜子壳儿,,,4,1658420054049,,,
288267,小黄瓜子壳儿,,,4,1658334465381,,,
510047,伊万_iiivan,,,4,1658316358393,,,
1795716989,阿鹤-Crane,,,4,1657981324286,,,
2529007,苟校长想要你的关注,,,4,1657334002729,,,
288267,小黄瓜子壳儿,,,4,1657023938206,,,
3506,车牌,,,4,1656782509434,,,
327757321,摸鱼事务所,,,4,1656782838343,,,
602724685,雷岁_Raisai,,,4,1656421553953,,,
