cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
540564177,Jason-老湿,娱乐,视频唱见,4,1688475761632,,,
690748574,朝阳冬泳怪鸽,电台,聊天电台,4,1688429518657,,,
525121722,莫大韭菜,电台,聊天电台,4,1688141147136,,,
23730666,老沐ocean,手游,崩坏：星穹铁道,0,1687951683662,？？？？,,
23730666,老沐ocean,手游,崩坏：星穹铁道,0,1687951697143,[手机][手机][手机][手机][手机][手机][手机][手机],,
23730666,老沐ocean,手游,崩坏：星穹铁道,0,1687951711932,[https://i0.hdslb.com/bfs/live/9029486931c3169c3b4f8e69da7589d29a8eadaa.png],,
23730666,老沐ocean,手游,崩坏：星穹铁道,0,1687951726057,[https://i0.hdslb.com/bfs/live/fdefb600cf40d8e5a7e566cc97058b47d946cad6.png],,
23730666,老沐ocean,手游,崩坏：星穹铁道,0,1687951739030,[https://i0.hdslb.com/bfs/live/40db7427f02a2d9417f8eeed0f71860dfb28df5a.png],,
27717502,时雨ioo,手游,原神,4,1687634016297,,,
9838546,泪眼执笔墨成花,手游,原神,4,1687514745182,,,
525121722,莫大韭菜,电台,聊天电台,4,1687366047168,,,
525121722,莫大韭菜,电台,聊天电台,0,1687366064440,莫大真帅,,
525121722,莫大韭菜,电台,聊天电台,0,1687366311449,[https://i0.hdslb.com/bfs/live/7b7a2567ad1520f962ee226df777eaf3ca368fbc.png],,
525121722,莫大韭菜,电台,聊天电台,0,1687366372933,啊哦,,
525121722,莫大韭菜,电台,聊天电台,0,1687366396053,[手机],,
525121722,莫大韭菜,电台,聊天电台,0,1687366416316,[抓狂],,
525121722,莫大韭菜,电台,聊天电台,0,1687366438847,[傲娇],,
9838546,泪眼执笔墨成花,手游,原神,4,1687348909881,,,
525121722,莫大韭菜,电台,聊天电台,4,1686927085076,,,
551188239,企鹅带带北极熊,手游,原神,4,1686918779400,,,
9838546,泪眼执笔墨成花,手游,原神,4,1686927293665,,,
9838546,泪眼执笔墨成花,手游,原神,4,1686850379554,,,
1370178873,云云用手打深渊,手游,原神,4,1686847076751,,,
1370178873,云云用手打深渊,手游,原神,4,1686729672695,,,
551188239,企鹅带带北极熊,手游,原神,4,1686583640546,,,
9838546,泪眼执笔墨成花,手游,原神,4,1686577387884,,,
9838546,泪眼执笔墨成花,手游,原神,4,1686059104549,,,
27717502,时雨ioo,手游,原神,4,1686004050034,,,
525121722,莫大韭菜,电台,聊天电台,4,1685718991411,,,
9838546,泪眼执笔墨成花,手游,原神,4,1685535764111,,,
551188239,企鹅带带北极熊,手游,原神,4,1685535778310,,,
36047134,小霖QL,手游,崩坏：星穹铁道,4,1685535874544,,,
27717502,时雨ioo,手游,崩坏：星穹铁道,4,1685205669161,,,
27717502,时雨ioo,手游,原神,4,1684930901393,,,
27717502,时雨ioo,手游,崩坏：星穹铁道,4,1684794058702,,,
27717502,时雨ioo,手游,崩坏：星穹铁道,4,1684493638752,,,
9838546,泪眼执笔墨成花,手游,原神,4,1684154721021,,,
9838546,泪眼执笔墨成花,手游,原神,4,1684159310061,,,
519200091,游戏王卡片游戏,手游,综合棋牌,4,1683966043068,,,
