cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
480680646,阿萨Aza,虚拟主播,TopStar,4,1688139054862,,,
1801527765,天音マリー,虚拟主播,虚拟日常,4,1688046342265,,,
1577804,某幻君,单机游戏,主机游戏,4,1686306993628,,,
609132511,超级索尼马,虚拟主播,虚拟Gamer,4,1685112611729,,,
11449972,予绵绵,网游,剑网3,4,1682965337645,,,
85280624,肉卷大大,单机游戏,怪物猎人,4,1670758262613,,,
85280624,肉卷大大,单机游戏,怪物猎人,4,1669461393223,,,
673816,谜之声,单机游戏,独立游戏,4,1668947450377,,,
602724685,雷岁_Raisai,虚拟主播,虚拟主播,4,1668947422991,,,
7069332,Luke4ever,单机游戏,精灵宝可梦,4,1668947306939,,,
36248817,云千影Sorcer,网游,新游前瞻,4,1668871139895,,,
34815578,りんうらん霖雨蘭,虚拟主播,虚拟主播,4,1668609552826,,,
85280624,肉卷大大,网游,守望先锋,4,1667639347376,,,
4110367,赛文吉,单机游戏,怪物猎人,4,1667571488365,,,
341491537,强击瓶大剑,单机游戏,怪物猎人,4,1667572271026,,,
46625800,明石飛行社,单机游戏,独立游戏,4,1667578763792,,,
85280624,肉卷大大,网游,守望先锋,4,1667390753859,,,
10909483,扎堆的麻薯鸭,网游,VALORANT,4,1667032006742,,,
227933,坂本叔,单机游戏,使命召唤19,4,1666966623841,,,
10664213,神子XIAO,单机游戏,使命召唤19,4,1666966579738,,,
193584,闻香识,单机游戏,使命召唤19,4,1666951513165,,,
14272337,Yommyko,单机游戏,使命召唤19,4,1666966533848,,,
1442771,Kirikosama,单机游戏,主机游戏,4,1666852991007,,,
35533063,Su2tap,网游,APEX英雄,4,1666853290799,,,
39334147,裕刺Fy,单机游戏,主机游戏,4,1666853162066,,,
233592835,夏夏大魔王_Axx,网游,DOTA2,4,1666853281960,,,
300646326,一只菜喵喵,单机游戏,主机游戏,4,1666852838548,,,
6713974,无数梦境,网游,最终幻想14,4,1666853328342,,,
70070,v猫诺v,单机游戏,主机游戏,4,1666852769158,,,
472398768,嘿忒忒,单机游戏,恐怖游戏,4,1666853150318,,,
21205318,鼬来啦,单机游戏,主机游戏,4,1666852894196,,,
14272337,Yommyko,单机游戏,主机游戏,4,1666853130291,,,
85280624,肉卷大大,手游,明日方舟,4,1666781858442,,,
10213004,小AK就不打AK,网游,使命召唤:战区,4,1666707509910,,,
440772821,灰音Haine,虚拟主播,虚拟主播,4,1666707415015,,,
1927279531,浅川玉乃,虚拟主播,虚拟主播,4,1666350648713,,,
85280624,肉卷大大,单机游戏,其他单机,4,1666350158488,,,
85280624,肉卷大大,单机游戏,其他单机,4,1666268281195,,,
85280624,肉卷大大,单机游戏,其他单机,4,1665834703641,,,
85280624,肉卷大大,单机游戏,其他单机,4,1665841652313,,,
4110367,赛文吉,单机游戏,怪物猎人,4,1664892902839,,,
4110367,赛文吉,单机游戏,怪物猎人,0,1664893632950,萌新请问为什么太刀的攻速这么快呢,,
4110367,赛文吉,单机游戏,怪物猎人,0,1664893682151,比我玩的时候感觉攻速快,,
4110367,赛文吉,单机游戏,怪物猎人,0,1664893688922,是技能吗还是,,
