cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
5294454,逗比的雀巢,娱乐,视频聊天,0,1686482607221,怎么被打了啊,,
2765893,恰空_PurrLude,手游,原神,4,1684159029464,,,
1298579146,虎哥二次元教父,娱乐,视频聊天,4,1684145702257,,,
1628139107,真实电竞,网游,英雄联盟,4,1683627744131,,,
1628139107,真实电竞,网游,英雄联盟,4,1683546484703,,,
2765893,恰空_PurrLude,手游,原神,4,1682465972192,,,
101576324,星云号,单机游戏,其他单机,4,1682003235161,,,
642892779,帅山姆先生,知识,校园学习,4,1681044034443,,,
1644959,东宝星辉,网游,英雄联盟,4,1680192554474,,,
1628139107,真实电竞,网游,英雄联盟,4,1679239570727,,,
428040854,上单老祖,网游,英雄联盟,4,1676794233213,,,
3410169,TGBUS电玩巴士,单机游戏,主机游戏,4,1676522764474,,,
1628139107,真实电竞,网游,英雄联盟,4,1676482031258,,,
3410169,TGBUS电玩巴士,单机游戏,主机游戏,4,1676441804702,,,
1628139107,真实电竞,网游,英雄联盟,4,1675428615433,,,
145149047,小饭中年事件簿,电台,聊天电台,4,1673964326216,,,
1448688105,账号已注销,娱乐,视频聊天,4,1673865265212,,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,0,1673788495824,装备栏一直开着啊我艹,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,0,1673788532762,ob中间的装备栏ui一直开着啊，关了干啥,,
1971422680,英雄联盟手游电竞,赛事,游戏赛事,4,1673791830460,,,
1644959,东宝星辉,手游,其他手游,4,1672402064598,,,
485401838,猛男刘三少,网游,VALORANT,4,1668867392035,,,
1644959,东宝星辉,网游,英雄联盟,4,1668781276083,,,
7487399,努力的Lorre,单机游戏,暗黑破坏神2,4,1668088661894,,,
1019552604,摆烂男青年,网游,英魂之刃,4,1667723084693,,,
2403047,嘟督不噶油,手游,原神,4,1666450929061,,,
1298579146,虎哥二次元教父,娱乐,视频聊天,4,1666267323597,,,
1628139107,真实电竞,网游,英雄联盟,4,1665869389654,,,
1298579146,虎哥二次元教父,娱乐,视频聊天,4,1665483416245,,,
492840942,云视听小电视-TV,网游,英雄联盟,4,1666584300751,,,
777536,LexBurner,手游,王者荣耀,4,1663944248661,,,
1978444318,账号已注销,娱乐,视频聊天,4,1662822921503,,,
428040854,上单老祖,,,4,1661769791420,,,
14904244,放飞自我的星辰,,,4,1659788821606,,,
777536,LexBurner,,,4,1659109251352,,,
1644959,东宝星辉,,,4,1657289831946,,,
2403047,嘟督不噶油,,,4,1657273788755,,,
1644959,东宝星辉,,,4,1657117029364,,,
1644959,东宝星辉,,,4,1656247896016,,,
1644959,东宝星辉,,,4,1655911916113,,,
1644959,东宝星辉,,,0,1655911962888,这玩意儿输一局还是有机会晋级的吧,,
1644959,东宝星辉,,,0,1655911986918,春男弃权了冰室还是有希望晋级的,,
