cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
666726799,悠亚Yua,虚拟主播,虚拟日常,4,1689436598652,,,
1734978373,小柔Channel,虚拟主播,虚拟Singer,4,1689422080712,,,
690608686,茉里Mari,虚拟主播,虚拟日常,4,1689420820211,,,
690608686,茉里Mari,虚拟主播,虚拟日常,4,1689425076158,,,
479633069,秋凛子Rinco,虚拟主播,虚拟Gamer,4,1689417947579,,,
529249,诺莺Nox,虚拟主播,虚拟日常,4,1689414617025,,,
3614240,御司司,虚拟主播,虚拟Singer,4,1689419688277,,,
421267475,艾因Eine,虚拟主播,虚拟日常,4,1689410115440,,,
421267475,艾因Eine,虚拟主播,虚拟日常,4,1689418331954,,,
12497617,胡桃Usa,虚拟主播,虚拟Gamer,4,1689403724770,,,
3461578781362279,河黎有片小叶子,虚拟主播,TopStar,4,1689403750413,,,
3493122732460082,壹妍_official,虚拟主播,TopStar,4,1689391029337,,,
1609526545,栞栞Shiori,虚拟主播,虚拟日常,4,1689388663718,,,
14387072,小可学妹,虚拟主播,虚拟日常,4,1689388184994,,,
421267475,艾因Eine,虚拟主播,虚拟日常,4,1689351187340,,,
3614240,御司司,虚拟主播,虚拟Singer,4,1689343584999,,,
1011797664,卡缇娅也不知道鸭,虚拟主播,TopStar,4,1689345542673,,,
529249,诺莺Nox,虚拟主播,虚拟Singer,4,1689338689619,,,
1855519979,dodo_Official,网游,DOTA2,4,1689350798583,,,
12497617,胡桃Usa,虚拟主播,虚拟APEX,4,1689263194536,,,
690608693,勾檀Mayumi,虚拟主播,虚拟Gamer,4,1689262839888,,,
296909317,田中姬铃木雏Official,虚拟主播,TopStar,4,1689252457260,,,
1827139579,欧珀Opal,虚拟主播,虚拟Gamer,4,1689263457754,,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1689257393247,好好好,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1689259664819,hxd,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1689261728612,草 优质二创,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1689262393979,,,
47791562,赫拉Kris,虚拟主播,虚拟日常,4,1689237366259,,,
1388514638,longdd黄翔,网游,DOTA2,4,1689263437818,,,
3117396,狡兔者DC,网游,DOTA2,4,1689262375983,,,
796556,-菫時-,虚拟主播,虚拟Singer,4,1689225412975,,,
393885664,诺可Noko,虚拟主播,虚拟Singer,4,1689177654511,,,
690608686,茉里Mari,虚拟主播,虚拟日常,4,1689169481137,,,
690608686,茉里Mari,虚拟主播,虚拟日常,4,1689177072309,,,
690608686,茉里Mari,虚拟主播,虚拟APEX,4,1689164256928,,,
690608686,茉里Mari,虚拟主播,虚拟APEX,4,1689167648867,,,
690608686,茉里Mari,虚拟主播,虚拟APEX,4,1689168429806,,,
690608691,千幽Chiyuu,虚拟主播,虚拟APEX,4,1689168564715,,,
11073,hanser,娱乐,萌宅领域,0,1689164628704,啊？,,
188679,Niya阿布,虚拟主播,虚拟Gamer,4,1689177601435,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1689169499701,,,
1377212676,永恒娘Official,虚拟主播,虚拟Gamer,4,1689165188066,,,
3117396,狡兔者DC,网游,DOTA2,4,1689154123813,,,
3614240,御司司,虚拟主播,虚拟Singer,4,1689148936055,,,
3614240,御司司,虚拟主播,虚拟Singer,4,1689152758433,,,
1388514638,longdd黄翔,网游,DOTA2,4,1689177588616,,,
1908273021,露娜Luna_Official,电台,聊天电台,4,1689080418380,,,
690608691,千幽Chiyuu,虚拟主播,虚拟日常,4,1689077217872,,,
1377212676,永恒娘Official,虚拟主播,虚拟Gamer,4,1689089721435,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1689086353187,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1689092945336,,,
686201061,古堡龙姬,网游,CS:GO,4,1689089715833,,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1689051150258,再别说了 -20,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1689051235246,沉默,,
11808975,您的橘,手游,综合棋牌,4,1689001530282,,,
12497617,胡桃Usa,虚拟主播,虚拟Singer,4,1689004631308,,,
403928672,本间向日葵Official,虚拟主播,虚拟Gamer,4,1688994267068,,,
402417817,星宮汐Official,网游,APEX英雄,4,1688994161304,,,
11073,hanser,娱乐,萌宅领域,0,1688992648010,我似楞啊,,
11073,hanser,娱乐,萌宅领域,0,1688992862367,绷不住了,,
11073,hanser,娱乐,萌宅领域,0,1688993477468,正式正义女毛怪,,
11073,hanser,娱乐,萌宅领域,0,1688993507699,薄纱,,
11073,hanser,娱乐,萌宅领域,0,1688994651776,大猫,,
1388514638,longdd黄翔,网游,DOTA2,4,1689004615422,,,
3046429,祖娅纳惜,虚拟主播,虚拟日常,4,1688920093234,,,
1464029182,千月Chizuki,网游,CS:GO,4,1688909738594,,,
1464029182,千月Chizuki,网游,CS:GO,4,1688919318973,,,
479633069,秋凛子Rinco,虚拟主播,虚拟Gamer,4,1688920521992,,,
3821157,东爱璃Lovely,虚拟主播,虚拟日常,4,1688920479416,,,
3494349782387138,桃汐笑兮兮,虚拟主播,虚拟Gamer,4,1688919272801,,,
1359949418,小小约yoo,虚拟主播,虚拟日常,4,1688920103634,,,
477342747,星弥Hoshimi,虚拟主播,虚拟日常,4,1688918645575,,,
12497617,胡桃Usa,单机游戏,主机游戏,4,1688919279537,,,
283886865,说说Crystal,虚拟主播,虚拟Singer,4,1688906213708,,,
9066351,塔克Tako,虚拟主播,虚拟日常,4,1688906181210,,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688902375633,导播,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688902384668,.要打人意思是？,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688903768103,还得是前几年,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688910273647,卡卡卡,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688913132982,学到了很多牌是吧,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688913396133,米子注意表情,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688915104560,1111,,
1112031857,薇Steria,虚拟主播,虚拟Singer,4,1688906200335,,,
17967817,大哥L-,电台,唱见电台,4,1688906230071,,,
477342747,星弥Hoshimi,虚拟主播,虚拟日常,4,1688889940006,,,
3461582034045213,宣小纸不怕火,电台,聊天电台,4,1688871987321,,,
3461565583984850,哇啦哇啦稀里哗啦,电台,唱见电台,4,1688862960412,,,
477342747,星弥Hoshimi,虚拟主播,虚拟日常,4,1688827148058,,,
47791562,赫拉Kris,虚拟主播,虚拟Singer,4,1688834266705,,,
5055,小缘,娱乐,萌宅领域,4,1688827170680,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1688831142773,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1688833448459,,,
393885664,诺可Noko,虚拟主播,虚拟Singer,4,1688830182236,,,
393885664,诺可Noko,虚拟主播,虚拟Singer,4,1688862900774,,,
393885664,诺可Noko,虚拟主播,虚拟Singer,4,1688871834807,,,
529249,诺莺Nox,虚拟主播,虚拟日常,4,1688830511764,,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688818879880,0,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688819862327,0,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688826171457,看右边的字,,
2100944625,露珀塔_Ruperta,虚拟主播,虚拟Singer,4,1688803268784,,,
402417817,星宮汐Official,虚拟主播,虚拟日常,4,1688803097660,,,
3117396,狡兔者DC,网游,DOTA2,4,1688786375436,,,
12497617,胡桃Usa,虚拟主播,虚拟Gamer,4,1688748244140,,,
47791562,赫拉Kris,虚拟主播,虚拟Singer,4,1688748204631,,,
529249,诺莺Nox,虚拟主播,虚拟Gamer,4,1688748305277,,,
51030552,星汐Seki,虚拟主播,虚拟Gamer,4,1688750457957,,,
690608686,茉里Mari,电台,聊天电台,4,1688731369028,,,
403928672,本间向日葵Official,虚拟主播,虚拟Gamer,4,1688724555397,,,
47791562,赫拉Kris,虚拟主播,虚拟Singer,4,1688650799713,,,
12497617,胡桃Usa,单机游戏,主机游戏,4,1688660631242,,,
421267475,艾因Eine,虚拟主播,虚拟日常,4,1688651143069,,,
1011797664,卡缇娅也不知道鸭,虚拟主播,TopStar,4,1688646543518,,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688652240745,0,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688652987452,爬,,
2000609327,露米Lumi_Official,虚拟主播,虚拟Singer,0,1688655939729,还真是,,
1377212676,永恒娘Official,虚拟主播,虚拟Gamer,4,1688658313088,,,
188679,Niya阿布,虚拟主播,虚拟Singer,4,1688645678465,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1688653987573,,,
440407880,2楠游戏,单机游戏,暗黑破坏神,4,1688656353181,,,
690608694,伊深Imi,虚拟主播,虚拟Gamer,4,1688646531282,,,
1878154667,沐霂是MUMU呀,虚拟主播,TopStar,4,1688646553722,,,
796556,-菫時-,虚拟主播,虚拟Singer,4,1688624018911,,,
3494349782387138,桃汐笑兮兮,虚拟主播,虚拟Singer,4,1688571072654,,,
1954091502,岁己SUI,虚拟主播,虚拟日常,4,1688567546392,,,
490331391,沙夜_Saya,虚拟主播,虚拟Gamer,4,1688561843466,,,
1011797664,卡缇娅也不知道鸭,虚拟主播,TopStar,4,1688565186655,,,
12497617,胡桃Usa,虚拟主播,虚拟Gamer,4,1688574679723,,,
11073,hanser,娱乐,萌宅领域,0,1688561803712,并不玩崩3,,
