cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
25813,DeAdz-LinG,单机游戏,主机游戏,4,1677603799653,,,
1773999563,贪吃蛇小鹿,手游,其他手游,4,1677603946200,,,
