cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
278093107,MMP字幕搬运,手游,蔚蓝档案,4,1689246087823,,,
506562675,静酒今天跑步了吗,虚拟主播,虚拟日常,4,1681456725434,,,
203365648,物述有栖-爱丽丝搬运,虚拟主播,虚拟主播,4,1674983134343,,,
296909317,田中姬铃木雏Official,虚拟主播,虚拟主播,4,1671797372923,,,
167684,白き射手ナナリー,生活,影音馆,4,1669201165002,,,
697737710,蝶蝶Hikari,虚拟主播,虚拟主播,4,1665159303825,,,
5563350,小希Channel,虚拟主播,虚拟主播,4,1664115799197,,,
238537745,未来明-MiraiAkari,,,4,1662034309794,,,
278093107,MMP字幕搬运,,,4,1661216866103,,,
330415548,谭乔,,,4,1661151564630,,,
9135820,盐取shiotori,,,4,1656499042195,,,
238537745,未来明-MiraiAkari,,,4,1656220310229,,,
