cUid,cUname,cParentArea,cArea,type,sendDate,message,price,count
157761,达奇上校,单机游戏,其他单机,4,1685710002291,,,
483311105,先看评测,知识,科学科普,4,1684716855297,,,
39627524,食贫道,娱乐,视频聊天,4,1681649600774,,,
483311105,先看评测,知识,科学科普,4,1681174347280,,,
198512590,极游组,单机游戏,主机游戏,4,1680014594685,,,
3178205,东方寒兔,手游,原神,4,1674829923669,,,
3178205,东方寒兔,手游,原神,4,1674047179300,,,
3178205,东方寒兔,手游,原神,4,1673267036438,,,
3178205,东方寒兔,网游,DNF,4,1673180290373,,,
3178205,东方寒兔,手游,崩坏3,4,1672838898888,,,
157761,达奇上校,单机游戏,怪物猎人,4,1672747381251,,,
3178205,东方寒兔,手游,原神,4,1671624958765,,,
25237642,绿茶味的陈姜姜,娱乐,视频聊天,4,1670202577740,,,
3178205,东方寒兔,手游,原神,4,1670161041507,,,
3178205,东方寒兔,手游,崩坏3,4,1669637467281,,,
157761,达奇上校,单机游戏,战神,4,1668176639003,,,
601620361,别克,生活,生活分享,4,1667478826890,,,
1238329219,觅2,单机游戏,弹幕互动玩法,0,1667050769577,2222,,
3178205,东方寒兔,手游,崩坏3,4,1666011189877,,,
8049684,绝命墨菲,电台,聊天电台,4,1665886478242,,,
324879,CRAZY262,网游,战争雷霆,4,1665668092370,,,
261485584,HOPICO,娱乐,视频唱见,4,1665139271392,,,
261485584,HOPICO,娱乐,视频唱见,4,1665148893168,,,
3178205,东方寒兔,手游,崩坏3,4,1665059591360,,,
423895,怕上火暴王老菊,单机游戏,主机游戏,0,1663078878837,[https://i0.hdslb.com/bfs/live/bbd9045570d0c022a984c637e406cb0e1f208aa9.png],,
3178205,东方寒兔,,,4,1662382172482,,,
3178205,东方寒兔,,,4,1661348604610,,,
3178205,东方寒兔,,,4,1660998718815,,,
228342,石川丫丫,,,4,1660054672911,,,
489146840,奈奈莉娅Channel,,,4,1657979926996,,,
3530725,陈抱一,,,4,1656150112521,,,
